Breakpoint 1 at 0x411854
Starting program: /challenge/integration-cimg-screenshot-win < exploit.cimg

Breakpoint 1, 0x0000000000411854 in handle_1337 ()
Dump of assembler code for function win:
   0x0000000000401576 <+0>:	endbr64
   0x00000000004015fe <+136>:	call   0x401280 <strerror@plt>
   0x0000000000401603 <+141>:	mov    edi,0x1
   0x0000000000401608 <+146>:	lea    rsi,[rip+0x10a9a]        # 0x4120a9
   0x000000000040160f <+153>:	mov    rdx,rax
   0x0000000000401612 <+156>:	xor    eax,eax
   0x0000000000401614 <+158>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401619 <+163>:	or     edi,0xffffffff
   0x000000000040161c <+166>:	call   0x401260 <exit@plt>
   0x0000000000401621 <+171>:	movsxd rdx,eax
   0x0000000000401624 <+174>:	mov    rsi,rbp
   0x0000000000401627 <+177>:	mov    edi,0x1
   0x000000000040162c <+182>:	call   0x4011a0 <write@plt>
   0x0000000000401631 <+187>:	lea    rdi,[rip+0x10b1c]        # 0x412154
   0x0000000000401638 <+194>:	call   0x401190 <puts@plt>
   0x000000000040163d <+199>:	lea    rdi,[rip+0x109c0]        # 0x412004
   0x0000000000401644 <+206>:	xor    esi,esi
   0x0000000000401646 <+208>:	xor    eax,eax
   0x0000000000401648 <+210>:	call   0x401250 <open@plt>
   0x000000000040164d <+215>:	mov    edi,eax
   0x000000000040164f <+217>:	test   eax,eax
   0x0000000000401651 <+219>:	jns    0x401687 <win+273>
   0x0000000000401653 <+221>:	call   0x401180 <__errno_location@plt>
   0x0000000000401658 <+226>:	mov    edi,DWORD PTR [rax]
   0x000000000040165a <+228>:	call   0x401280 <strerror@plt>
   0x000000000040165f <+233>:	lea    rsi,[rip+0x109a4]        # 0x41200a
   0x0000000000401666 <+240>:	mov    edi,0x1
   0x000000000040166b <+245>:	mov    rdx,rax
   0x000000000040166e <+248>:	xor    eax,eax
   0x0000000000401670 <+250>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401675 <+255>:	call   0x4011e0 <geteuid@plt>
   0x000000000040167a <+260>:	test   eax,eax
   0x000000000040167c <+262>:	je     0x4015d9 <win+99>
   0x0000000000401682 <+268>:	jmp    0x4015c1 <win+75>
   0x0000000000401687 <+273>:	mov    edx,0x100
   0x000000000040168c <+278>:	mov    rsi,rbp
   0x000000000040168f <+281>:	call   0x401200 <read@plt>
   0x0000000000401694 <+286>:	test   eax,eax
   0x0000000000401696 <+288>:	jg     0x4016c2 <win+332>
   0x0000000000401698 <+290>:	call   0x401180 <__errno_location@plt>
   0x000000000040169d <+295>:	mov    edi,DWORD PTR [rax]
   0x000000000040169f <+297>:	call   0x401280 <strerror@plt>
   0x00000000004016a4 <+302>:	mov    edi,0x1
   0x00000000004016a9 <+307>:	lea    rsi,[rip+0x109f9]        # 0x4120a9
   0x00000000004016b0 <+314>:	mov    rdx,rax
   0x00000000004016b3 <+317>:	xor    eax,eax
   0x00000000004016b5 <+319>:	call   0x401230 <__printf_chk@plt>
   0x00000000004016ba <+324>:	or     edi,0xffffffff
   0x00000000004016bd <+327>:	call   0x401260 <exit@plt>
   0x00000000004016c2 <+332>:	movsxd rdx,eax
   0x00000000004016c5 <+335>:	mov    rsi,rbp
   0x00000000004016c8 <+338>:	mov    edi,0x1
   0x00000000004016cd <+343>:	call   0x4011a0 <write@plt>
   0x00000000004016d2 <+348>:	lea    rdi,[rip+0x10a7b]        # 0x412154
   0x00000000004016d9 <+355>:	call   0x401190 <puts@plt>
   0x00000000004016de <+360>:	lea    rdi,[rip+0x1091f]        # 0x412004
   0x00000000004016e5 <+367>:	xor    esi,esi
   0x00000000004016e7 <+369>:	xor    eax,eax
   0x00000000004016e9 <+371>:	call   0x401250 <open@plt>
   0x00000000004016ee <+376>:	mov    edi,eax
   0x00000000004016f0 <+378>:	test   eax,eax
   0x00000000004016f2 <+380>:	jns    0x401728 <win+434>
   0x00000000004016f4 <+382>:	call   0x401180 <__errno_location@plt>
   0x00000000004016f9 <+387>:	mov    edi,DWORD PTR [rax]
   0x00000000004016fb <+389>:	call   0x401280 <strerror@plt>
   0x0000000000401700 <+394>:	lea    rsi,[rip+0x10903]        # 0x41200a
   0x0000000000401707 <+401>:	mov    edi,0x1
   0x000000000040170c <+406>:	mov    rdx,rax
   0x000000000040170f <+409>:	xor    eax,eax
   0x0000000000401711 <+411>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401716 <+416>:	call   0x4011e0 <geteuid@plt>
   0x000000000040171b <+421>:	test   eax,eax
   0x000000000040171d <+423>:	je     0x4015d9 <win+99>
   0x0000000000401723 <+429>:	jmp    0x4015c1 <win+75>
   0x0000000000401728 <+434>:	mov    edx,0x100
   0x000000000040172d <+439>:	mov    rsi,rbp
   0x0000000000401730 <+442>:	call   0x401200 <read@plt>
   0x0000000000401735 <+447>:	test   eax,eax
   0x0000000000401737 <+449>:	jg     0x401763 <win+493>
   0x0000000000401739 <+451>:	call   0x401180 <__errno_location@plt>
   0x000000000040173e <+456>:	mov    edi,DWORD PTR [rax]
   0x0000000000401740 <+458>:	call   0x401280 <strerror@plt>
   0x0000000000401745 <+463>:	mov    edi,0x1
   0x000000000040174a <+468>:	lea    rsi,[rip+0x10958]        # 0x4120a9
   0x0000000000401751 <+475>:	mov    rdx,rax
   0x0000000000401754 <+478>:	xor    eax,eax
   0x0000000000401756 <+480>:	call   0x401230 <__printf_chk@plt>
   0x000000000040175b <+485>:	or     edi,0xffffffff
   0x000000000040175e <+488>:	call   0x401260 <exit@plt>
   0x0000000000401763 <+493>:	movsxd rdx,eax
   0x0000000000401766 <+496>:	mov    rsi,rbp
   0x0000000000401769 <+499>:	mov    edi,0x1
   0x000000000040176e <+504>:	call   0x4011a0 <write@plt>
   0x0000000000401773 <+509>:	lea    rdi,[rip+0x109da]        # 0x412154
   0x000000000040177a <+516>:	call   0x401190 <puts@plt>
   0x000000000040177f <+521>:	lea    rdi,[rip+0x1087e]        # 0x412004
   0x0000000000401786 <+528>:	xor    esi,esi
   0x0000000000401788 <+530>:	xor    eax,eax
   0x000000000040178a <+532>:	call   0x401250 <open@plt>
   0x000000000040178f <+537>:	mov    edi,eax
   0x0000000000401791 <+539>:	test   eax,eax
   0x0000000000401793 <+541>:	jns    0x4017c9 <win+595>
   0x0000000000401795 <+543>:	call   0x401180 <__errno_location@plt>
   0x000000000040179a <+548>:	mov    edi,DWORD PTR [rax]
   0x000000000040179c <+550>:	call   0x401280 <strerror@plt>
   0x00000000004017a1 <+555>:	lea    rsi,[rip+0x10862]        # 0x41200a
   0x00000000004017a8 <+562>:	mov    edi,0x1
   0x00000000004017ad <+567>:	mov    rdx,rax
   0x00000000004017b0 <+570>:	xor    eax,eax
   0x00000000004017b2 <+572>:	call   0x401230 <__printf_chk@plt>
   0x00000000004017b7 <+577>:	call   0x4011e0 <geteuid@plt>
   0x00000000004017bc <+582>:	test   eax,eax
   0x00000000004017be <+584>:	je     0x4015d9 <win+99>
   0x00000000004017c4 <+590>:	jmp    0x4015c1 <win+75>
   0x00000000004017c9 <+595>:	mov    edx,0x100
   0x00000000004017ce <+600>:	mov    rsi,rbp
   0x00000000004017d1 <+603>:	call   0x401200 <read@plt>
   0x00000000004017d6 <+608>:	test   eax,eax
   0x00000000004017d8 <+610>:	jg     0x401804 <win+654>
   0x00000000004017da <+612>:	call   0x401180 <__errno_location@plt>
   0x00000000004017df <+617>:	mov    edi,DWORD PTR [rax]
   0x00000000004017e1 <+619>:	call   0x401280 <strerror@plt>
   0x00000000004017e6 <+624>:	mov    edi,0x1
   0x00000000004017eb <+629>:	lea    rsi,[rip+0x108b7]        # 0x4120a9
   0x00000000004017f2 <+636>:	mov    rdx,rax
   0x00000000004017f5 <+639>:	xor    eax,eax
   0x00000000004017f7 <+641>:	call   0x401230 <__printf_chk@plt>
   0x00000000004017fc <+646>:	or     edi,0xffffffff
   0x00000000004017ff <+649>:	call   0x401260 <exit@plt>
   0x0000000000401804 <+654>:	movsxd rdx,eax
   0x0000000000401807 <+657>:	mov    rsi,rbp
   0x000000000040180a <+660>:	mov    edi,0x1
   0x000000000040180f <+665>:	call   0x4011a0 <write@plt>
   0x0000000000401814 <+670>:	lea    rdi,[rip+0x10939]        # 0x412154
   0x000000000040181b <+677>:	call   0x401190 <puts@plt>
   0x0000000000401820 <+682>:	lea    rdi,[rip+0x107dd]        # 0x412004
   0x0000000000401827 <+689>:	xor    esi,esi
   0x0000000000401829 <+691>:	xor    eax,eax
   0x000000000040182b <+693>:	call   0x401250 <open@plt>
   0x0000000000401830 <+698>:	mov    edi,eax
   0x0000000000401832 <+700>:	test   eax,eax
   0x0000000000401834 <+702>:	jns    0x40186a <win+756>
   0x0000000000401836 <+704>:	call   0x401180 <__errno_location@plt>
   0x000000000040183b <+709>:	mov    edi,DWORD PTR [rax]
   0x000000000040183d <+711>:	call   0x401280 <strerror@plt>
   0x0000000000401842 <+716>:	lea    rsi,[rip+0x107c1]        # 0x41200a
   0x0000000000401849 <+723>:	mov    edi,0x1
   0x000000000040184e <+728>:	mov    rdx,rax
   0x0000000000401851 <+731>:	xor    eax,eax
   0x0000000000401853 <+733>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401858 <+738>:	call   0x4011e0 <geteuid@plt>
   0x000000000040185d <+743>:	test   eax,eax
   0x000000000040185f <+745>:	je     0x4015d9 <win+99>
   0x0000000000401865 <+751>:	jmp    0x4015c1 <win+75>
   0x000000000040186a <+756>:	mov    edx,0x100
   0x000000000040186f <+761>:	mov    rsi,rbp
   0x0000000000401872 <+764>:	call   0x401200 <read@plt>
   0x0000000000401877 <+769>:	test   eax,eax
   0x0000000000401879 <+771>:	jg     0x4018a5 <win+815>
   0x000000000040187b <+773>:	call   0x401180 <__errno_location@plt>
   0x0000000000401880 <+778>:	mov    edi,DWORD PTR [rax]
   0x0000000000401882 <+780>:	call   0x401280 <strerror@plt>
   0x0000000000401887 <+785>:	mov    edi,0x1
   0x000000000040188c <+790>:	lea    rsi,[rip+0x10816]        # 0x4120a9
   0x0000000000401893 <+797>:	mov    rdx,rax
   0x0000000000401896 <+800>:	xor    eax,eax
   0x0000000000401898 <+802>:	call   0x401230 <__printf_chk@plt>
   0x000000000040189d <+807>:	or     edi,0xffffffff
   0x00000000004018a0 <+810>:	call   0x401260 <exit@plt>
   0x00000000004018a5 <+815>:	movsxd rdx,eax
   0x00000000004018a8 <+818>:	mov    rsi,rbp
   0x00000000004018ab <+821>:	mov    edi,0x1
   0x00000000004018b0 <+826>:	call   0x4011a0 <write@plt>
   0x00000000004018b5 <+831>:	lea    rdi,[rip+0x10898]        # 0x412154
   0x00000000004018bc <+838>:	call   0x401190 <puts@plt>
   0x00000000004018c1 <+843>:	lea    rdi,[rip+0x1073c]        # 0x412004
   0x00000000004018c8 <+850>:	xor    esi,esi
   0x00000000004018ca <+852>:	xor    eax,eax
   0x00000000004018cc <+854>:	call   0x401250 <open@plt>
   0x00000000004018d1 <+859>:	mov    edi,eax
   0x00000000004018d3 <+861>:	test   eax,eax
   0x00000000004018d5 <+863>:	jns    0x40190b <win+917>
   0x00000000004018d7 <+865>:	call   0x401180 <__errno_location@plt>
   0x00000000004018dc <+870>:	mov    edi,DWORD PTR [rax]
   0x00000000004018de <+872>:	call   0x401280 <strerror@plt>
   0x00000000004018e3 <+877>:	lea    rsi,[rip+0x10720]        # 0x41200a
   0x00000000004018ea <+884>:	mov    edi,0x1
   0x00000000004018ef <+889>:	mov    rdx,rax
   0x00000000004018f2 <+892>:	xor    eax,eax
   0x00000000004018f4 <+894>:	call   0x401230 <__printf_chk@plt>
   0x00000000004018f9 <+899>:	call   0x4011e0 <geteuid@plt>
   0x00000000004018fe <+904>:	test   eax,eax
   0x0000000000401900 <+906>:	je     0x4015d9 <win+99>
   0x0000000000401906 <+912>:	jmp    0x4015c1 <win+75>
   0x000000000040190b <+917>:	mov    edx,0x100
   0x0000000000401910 <+922>:	mov    rsi,rbp
   0x0000000000401913 <+925>:	call   0x401200 <read@plt>
   0x0000000000401918 <+930>:	test   eax,eax
   0x000000000040191a <+932>:	jg     0x401946 <win+976>
   0x000000000040191c <+934>:	call   0x401180 <__errno_location@plt>
   0x0000000000401921 <+939>:	mov    edi,DWORD PTR [rax]
   0x0000000000401923 <+941>:	call   0x401280 <strerror@plt>
   0x0000000000401928 <+946>:	mov    edi,0x1
   0x000000000040192d <+951>:	lea    rsi,[rip+0x10775]        # 0x4120a9
   0x0000000000401934 <+958>:	mov    rdx,rax
   0x0000000000401937 <+961>:	xor    eax,eax
   0x0000000000401939 <+963>:	call   0x401230 <__printf_chk@plt>
   0x000000000040193e <+968>:	or     edi,0xffffffff
   0x0000000000401941 <+971>:	call   0x401260 <exit@plt>
   0x0000000000401946 <+976>:	movsxd rdx,eax
   0x0000000000401949 <+979>:	mov    rsi,rbp
   0x000000000040194c <+982>:	mov    edi,0x1
   0x0000000000401951 <+987>:	call   0x4011a0 <write@plt>
   0x0000000000401956 <+992>:	lea    rdi,[rip+0x107f7]        # 0x412154
   0x000000000040195d <+999>:	call   0x401190 <puts@plt>
   0x0000000000401962 <+1004>:	lea    rdi,[rip+0x1069b]        # 0x412004
   0x0000000000401969 <+1011>:	xor    esi,esi
   0x000000000040196b <+1013>:	xor    eax,eax
   0x000000000040196d <+1015>:	call   0x401250 <open@plt>
   0x0000000000401972 <+1020>:	mov    edi,eax
   0x0000000000401974 <+1022>:	test   eax,eax
   0x0000000000401976 <+1024>:	jns    0x4019ac <win+1078>
   0x0000000000401978 <+1026>:	call   0x401180 <__errno_location@plt>
   0x000000000040197d <+1031>:	mov    edi,DWORD PTR [rax]
   0x000000000040197f <+1033>:	call   0x401280 <strerror@plt>
   0x0000000000401984 <+1038>:	lea    rsi,[rip+0x1067f]        # 0x41200a
   0x000000000040198b <+1045>:	mov    edi,0x1
   0x0000000000401990 <+1050>:	mov    rdx,rax
   0x0000000000401993 <+1053>:	xor    eax,eax
   0x0000000000401995 <+1055>:	call   0x401230 <__printf_chk@plt>
   0x000000000040199a <+1060>:	call   0x4011e0 <geteuid@plt>
   0x000000000040199f <+1065>:	test   eax,eax
   0x00000000004019a1 <+1067>:	je     0x4015d9 <win+99>
   0x00000000004019a7 <+1073>:	jmp    0x4015c1 <win+75>
   0x00000000004019ac <+1078>:	mov    edx,0x100
   0x00000000004019b1 <+1083>:	mov    rsi,rbp
   0x00000000004019b4 <+1086>:	call   0x401200 <read@plt>
   0x00000000004019b9 <+1091>:	test   eax,eax
   0x00000000004019bb <+1093>:	jg     0x4019e7 <win+1137>
   0x00000000004019bd <+1095>:	call   0x401180 <__errno_location@plt>
   0x00000000004019c2 <+1100>:	mov    edi,DWORD PTR [rax]
   0x00000000004019c4 <+1102>:	call   0x401280 <strerror@plt>
   0x00000000004019c9 <+1107>:	mov    edi,0x1
   0x00000000004019ce <+1112>:	lea    rsi,[rip+0x106d4]        # 0x4120a9
   0x00000000004019d5 <+1119>:	mov    rdx,rax
   0x00000000004019d8 <+1122>:	xor    eax,eax
   0x00000000004019da <+1124>:	call   0x401230 <__printf_chk@plt>
   0x00000000004019df <+1129>:	or     edi,0xffffffff
   0x00000000004019e2 <+1132>:	call   0x401260 <exit@plt>
   0x00000000004019e7 <+1137>:	movsxd rdx,eax
   0x00000000004019ea <+1140>:	mov    rsi,rbp
   0x00000000004019ed <+1143>:	mov    edi,0x1
   0x00000000004019f2 <+1148>:	call   0x4011a0 <write@plt>
   0x00000000004019f7 <+1153>:	lea    rdi,[rip+0x10756]        # 0x412154
   0x00000000004019fe <+1160>:	call   0x401190 <puts@plt>
   0x0000000000401a03 <+1165>:	lea    rdi,[rip+0x105fa]        # 0x412004
   0x0000000000401a0a <+1172>:	xor    esi,esi
   0x0000000000401a0c <+1174>:	xor    eax,eax
   0x0000000000401a0e <+1176>:	call   0x401250 <open@plt>
   0x0000000000401a13 <+1181>:	mov    edi,eax
   0x0000000000401a15 <+1183>:	test   eax,eax
   0x0000000000401a17 <+1185>:	jns    0x401a4d <win+1239>
   0x0000000000401a19 <+1187>:	call   0x401180 <__errno_location@plt>
   0x0000000000401a1e <+1192>:	mov    edi,DWORD PTR [rax]
   0x0000000000401a20 <+1194>:	call   0x401280 <strerror@plt>
   0x0000000000401a25 <+1199>:	lea    rsi,[rip+0x105de]        # 0x41200a
   0x0000000000401a2c <+1206>:	mov    edi,0x1
   0x0000000000401a31 <+1211>:	mov    rdx,rax
   0x0000000000401a34 <+1214>:	xor    eax,eax
   0x0000000000401a36 <+1216>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401a3b <+1221>:	call   0x4011e0 <geteuid@plt>
   0x0000000000401a40 <+1226>:	test   eax,eax
   0x0000000000401a42 <+1228>:	je     0x4015d9 <win+99>
   0x0000000000401a48 <+1234>:	jmp    0x4015c1 <win+75>
   0x0000000000401a4d <+1239>:	mov    edx,0x100
   0x0000000000401a52 <+1244>:	mov    rsi,rbp
   0x0000000000401a55 <+1247>:	call   0x401200 <read@plt>
   0x0000000000401a5a <+1252>:	test   eax,eax
   0x0000000000401a5c <+1254>:	jg     0x401a88 <win+1298>
   0x0000000000401a5e <+1256>:	call   0x401180 <__errno_location@plt>
   0x0000000000401a63 <+1261>:	mov    edi,DWORD PTR [rax]
   0x0000000000401a65 <+1263>:	call   0x401280 <strerror@plt>
   0x0000000000401a6a <+1268>:	mov    edi,0x1
   0x0000000000401a6f <+1273>:	lea    rsi,[rip+0x10633]        # 0x4120a9
   0x0000000000401a76 <+1280>:	mov    rdx,rax
   0x0000000000401a79 <+1283>:	xor    eax,eax
   0x0000000000401a7b <+1285>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401a80 <+1290>:	or     edi,0xffffffff
   0x0000000000401a83 <+1293>:	call   0x401260 <exit@plt>
   0x0000000000401a88 <+1298>:	movsxd rdx,eax
   0x0000000000401a8b <+1301>:	mov    rsi,rbp
   0x0000000000401a8e <+1304>:	mov    edi,0x1
   0x0000000000401a93 <+1309>:	call   0x4011a0 <write@plt>
   0x0000000000401a98 <+1314>:	lea    rdi,[rip+0x106b5]        # 0x412154
   0x0000000000401a9f <+1321>:	call   0x401190 <puts@plt>
   0x0000000000401aa4 <+1326>:	lea    rdi,[rip+0x10559]        # 0x412004
   0x0000000000401aab <+1333>:	xor    esi,esi
   0x0000000000401aad <+1335>:	xor    eax,eax
   0x0000000000401aaf <+1337>:	call   0x401250 <open@plt>
   0x0000000000401ab4 <+1342>:	mov    edi,eax
   0x0000000000401ab6 <+1344>:	test   eax,eax
   0x0000000000401ab8 <+1346>:	jns    0x401aee <win+1400>
   0x0000000000401aba <+1348>:	call   0x401180 <__errno_location@plt>
   0x0000000000401abf <+1353>:	mov    edi,DWORD PTR [rax]
   0x0000000000401ac1 <+1355>:	call   0x401280 <strerror@plt>
   0x0000000000401ac6 <+1360>:	lea    rsi,[rip+0x1053d]        # 0x41200a
   0x0000000000401acd <+1367>:	mov    edi,0x1
   0x0000000000401ad2 <+1372>:	mov    rdx,rax
   0x0000000000401ad5 <+1375>:	xor    eax,eax
   0x0000000000401ad7 <+1377>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401adc <+1382>:	call   0x4011e0 <geteuid@plt>
   0x0000000000401ae1 <+1387>:	test   eax,eax
   0x0000000000401ae3 <+1389>:	je     0x4015d9 <win+99>
   0x0000000000401ae9 <+1395>:	jmp    0x4015c1 <win+75>
   0x0000000000401aee <+1400>:	mov    edx,0x100
   0x0000000000401af3 <+1405>:	mov    rsi,rbp
   0x0000000000401af6 <+1408>:	call   0x401200 <read@plt>
   0x0000000000401afb <+1413>:	test   eax,eax
   0x0000000000401afd <+1415>:	jg     0x401b29 <win+1459>
   0x0000000000401aff <+1417>:	call   0x401180 <__errno_location@plt>
   0x0000000000401b04 <+1422>:	mov    edi,DWORD PTR [rax]
   0x0000000000401b06 <+1424>:	call   0x401280 <strerror@plt>
   0x0000000000401b0b <+1429>:	mov    edi,0x1
   0x0000000000401b10 <+1434>:	lea    rsi,[rip+0x10592]        # 0x4120a9
   0x0000000000401b17 <+1441>:	mov    rdx,rax
   0x0000000000401b1a <+1444>:	xor    eax,eax
   0x0000000000401b1c <+1446>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401b21 <+1451>:	or     edi,0xffffffff
   0x0000000000401b24 <+1454>:	call   0x401260 <exit@plt>
   0x0000000000401b29 <+1459>:	movsxd rdx,eax
   0x0000000000401b2c <+1462>:	mov    rsi,rbp
   0x0000000000401b2f <+1465>:	mov    edi,0x1
   0x0000000000401b34 <+1470>:	call   0x4011a0 <write@plt>
   0x0000000000401b39 <+1475>:	lea    rdi,[rip+0x10614]        # 0x412154
   0x0000000000401b40 <+1482>:	call   0x401190 <puts@plt>
   0x0000000000401b45 <+1487>:	lea    rdi,[rip+0x104b8]        # 0x412004
   0x0000000000401b4c <+1494>:	xor    esi,esi
   0x0000000000401b4e <+1496>:	xor    eax,eax
   0x0000000000401b50 <+1498>:	call   0x401250 <open@plt>
   0x0000000000401b55 <+1503>:	mov    edi,eax
   0x0000000000401b57 <+1505>:	test   eax,eax
   0x0000000000401b59 <+1507>:	jns    0x401b8f <win+1561>
   0x0000000000401b5b <+1509>:	call   0x401180 <__errno_location@plt>
   0x0000000000401b60 <+1514>:	mov    edi,DWORD PTR [rax]
   0x0000000000401b62 <+1516>:	call   0x401280 <strerror@plt>
   0x0000000000401b67 <+1521>:	lea    rsi,[rip+0x1049c]        # 0x41200a
   0x0000000000401b6e <+1528>:	mov    edi,0x1
   0x0000000000401b73 <+1533>:	mov    rdx,rax
   0x0000000000401b76 <+1536>:	xor    eax,eax
   0x0000000000401b78 <+1538>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401b7d <+1543>:	call   0x4011e0 <geteuid@plt>
   0x0000000000401b82 <+1548>:	test   eax,eax
   0x0000000000401b84 <+1550>:	je     0x4015d9 <win+99>
   0x0000000000401b8a <+1556>:	jmp    0x4015c1 <win+75>
   0x0000000000401b8f <+1561>:	mov    edx,0x100
   0x0000000000401b94 <+1566>:	mov    rsi,rbp
   0x0000000000401b97 <+1569>:	call   0x401200 <read@plt>
   0x0000000000401b9c <+1574>:	test   eax,eax
   0x0000000000401b9e <+1576>:	jg     0x401bca <win+1620>
   0x0000000000401ba0 <+1578>:	call   0x401180 <__errno_location@plt>
   0x0000000000401ba5 <+1583>:	mov    edi,DWORD PTR [rax]
   0x0000000000401ba7 <+1585>:	call   0x401280 <strerror@plt>
   0x0000000000401bac <+1590>:	mov    edi,0x1
   0x0000000000401bb1 <+1595>:	lea    rsi,[rip+0x104f1]        # 0x4120a9
   0x0000000000401bb8 <+1602>:	mov    rdx,rax
   0x0000000000401bbb <+1605>:	xor    eax,eax
   0x0000000000401bbd <+1607>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401bc2 <+1612>:	or     edi,0xffffffff
   0x0000000000401bc5 <+1615>:	call   0x401260 <exit@plt>
   0x0000000000401bca <+1620>:	movsxd rdx,eax
   0x0000000000401bcd <+1623>:	mov    rsi,rbp
   0x0000000000401bd0 <+1626>:	mov    edi,0x1
   0x0000000000401bd5 <+1631>:	call   0x4011a0 <write@plt>
   0x0000000000401bda <+1636>:	lea    rdi,[rip+0x10573]        # 0x412154
   0x0000000000401be1 <+1643>:	call   0x401190 <puts@plt>
   0x0000000000401be6 <+1648>:	lea    rdi,[rip+0x10417]        # 0x412004
   0x0000000000401bed <+1655>:	xor    esi,esi
   0x0000000000401bef <+1657>:	xor    eax,eax
   0x0000000000401bf1 <+1659>:	call   0x401250 <open@plt>
   0x0000000000401bf6 <+1664>:	mov    edi,eax
   0x0000000000401bf8 <+1666>:	test   eax,eax
   0x0000000000401bfa <+1668>:	jns    0x401c30 <win+1722>
   0x0000000000401bfc <+1670>:	call   0x401180 <__errno_location@plt>
   0x0000000000401c01 <+1675>:	mov    edi,DWORD PTR [rax]
   0x0000000000401c03 <+1677>:	call   0x401280 <strerror@plt>
   0x0000000000401c08 <+1682>:	lea    rsi,[rip+0x103fb]        # 0x41200a
   0x0000000000401c0f <+1689>:	mov    edi,0x1
   0x0000000000401c14 <+1694>:	mov    rdx,rax
   0x0000000000401c17 <+1697>:	xor    eax,eax
   0x0000000000401c19 <+1699>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401c1e <+1704>:	call   0x4011e0 <geteuid@plt>
   0x0000000000401c23 <+1709>:	test   eax,eax
   0x0000000000401c25 <+1711>:	je     0x4015d9 <win+99>
   0x0000000000401c2b <+1717>:	jmp    0x4015c1 <win+75>
   0x0000000000401c30 <+1722>:	mov    edx,0x100
   0x0000000000401c35 <+1727>:	mov    rsi,rbp
   0x0000000000401c38 <+1730>:	call   0x401200 <read@plt>
   0x0000000000401c3d <+1735>:	test   eax,eax
   0x0000000000401c3f <+1737>:	jg     0x401c6b <win+1781>
   0x0000000000401c41 <+1739>:	call   0x401180 <__errno_location@plt>
   0x0000000000401c46 <+1744>:	mov    edi,DWORD PTR [rax]
   0x0000000000401c48 <+1746>:	call   0x401280 <strerror@plt>
   0x0000000000401c4d <+1751>:	mov    edi,0x1
   0x0000000000401c52 <+1756>:	lea    rsi,[rip+0x10450]        # 0x4120a9
   0x0000000000401c59 <+1763>:	mov    rdx,rax
   0x0000000000401c5c <+1766>:	xor    eax,eax
   0x0000000000401c5e <+1768>:	call   0x401230 <__printf_chk@plt>
   0x0000000000401c63 <+1773>:	or     edi,0xffffffff
   0x0000000000401c66 <+1776>:	call   0x401260 <exit@plt>
